microbenchmark,racer dynamic energy(J),racer total latency(ms),baseline cycle (#cycles),dram average power(W),interconnect throughput(GB/s),core power(W),l3 power(W),noc power(W)
brightness,0.005,0.08,143000000,2.019,5.55564,72.691,5.453,0.059
rgb2gray,0.019,3.498,145000000,1.999,5.482355388,73.144,5.453,0.079
mmul,0.187,32.186,204000000,0.606,0.3243967828,74.216,5.453,0.054
mvmul,0.122,22.425,1030000000,2.042,5.640221985,72.691,5.453,0.045
pagerank,1.046,317.893,7020000000,2.015,5.956319987,72.751,5.453,0.043
dftSparse,0.003,0.615,21200000,0.511,0.0597375,73.516,5.454,0.154
dftDense,0.063,19.399,31000000000,0.972,2.240146143,72.412,5.453,0.043
manhattan,0.251,0.526,713000000,1.584,4.154823444,73.296,5.453,0.046
hamming,0.028,0.477,858000000,1.681,4.345814411,73.046,5.453,0.045
lenet,0.017,24.351,176000000,0.394,0.02306074074,73.296,5.453,0.055
grep,0.104,0.443,1710000000,1.975,5.433385542,73.593,5.453,0.049
exactMatch,0.016,0.108,306000000,0.296,0.04971838565,73.231,5.453,0.05
fuzzyMatch,0.061,0.235,308000000,0.304,0.090416,73.466,5.453,0.05
